Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/05/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        06/03",-11.35,DEBIT_CARD,1481.28,,
CREDIT,06/05/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1466.62,ACH_CREDIT,1492.63,,
DEBIT,06/01/2017,"BATH & BODY WORKS 0519 PARKERSBURG WV364837  06/01",-3.75,DEBIT_CARD,26.01,,
DEBIT,06/01/2017,"SONIC DRIVE IN #5849 PARKERSBURG WV          05/31",-30.13,DEBIT_CARD,29.76,,
DEBIT,05/31/2017,"MCDONALD'S F3615 PARKERSBURG WV              05/30",-1.61,DEBIT_CARD,59.89,,
DEBIT,05/30/2017,"DOLLAR TR 130 PARK CEN PARKERSBURG WV        05/30",-9.56,DEBIT_CARD,61.50,,
DEBIT,05/30/2017,"BIG LOTS STORES 270 PA PARKERSBURG WV764875  05/30",-7.54,DEBIT_CARD,71.06,,
DEBIT,05/30/2017,"SUBWAY        03105343 LANCASTER OH          05/29",-10.36,DEBIT_CARD,78.60,,
DEBIT,05/30/2017,"MCDONALD'S F3615 PARKERSBURG WV              05/29",-4.70,DEBIT_CARD,88.96,,
DEBIT,05/30/2017,"DAIRY QUEEN #13177 PARKERSBURG WV            05/28",-7.47,DEBIT_CARD,93.66,,
DEBIT,05/30/2017,"TIM HORTON'S #919353 PARKERSBURG WV          05/27",-7.48,DEBIT_CARD,101.13,,
DEBIT,05/30/2017,"PAYPAL *NETFLIX.COM 402-935-7733 CA          05/27",-9.99,DEBIT_CARD,108.61,,
DEBIT,05/30/2017,"DAIRY QUEEN #10420 RIPLEY WV                 05/26",-6.75,DEBIT_CARD,118.60,,
DEBIT,05/26/2017,"SPEEDWAY 09381 PAR PARKERSBURG WV            05/25",-15.02,DEBIT_CARD,125.35,,
DEBIT,05/26/2017,"MCDONALD'S F3615 PARKERSBURG WV              05/25",-4.92,DEBIT_CARD,140.37,,
DEBIT,05/26/2017,"SUBWAY        00467282 PARKERSBURG WV        05/25",-12.71,DEBIT_CARD,145.29,,
CREDIT,05/25/2017,"Online Transfer 6243600785 from One Community FCU ####9000 transaction #: 6243600785 05/25",50.00,ACCT_XFER,158.00,,
DSLIP,05/25/2017,"REMOTE ONLINE DEPOSIT #          1",70.00,CHECK_DEPOSIT,108.00,1,
DEBIT,05/24/2017,"CAPITAL ONE      ONLINE PMT 714439919127192 WEB ID: 9279744991",-148.00,ACH_DEBIT,38.00,,
DEBIT,05/24/2017,"SCHOOLCAFE 866-4426030 TX                    05/23",-28.35,DEBIT_CARD,186.00,,
DEBIT,05/23/2017,"PAYMENT FOR AMZ  STORECARD  1320211672      WEB ID: 9069872103",-35.00,ACH_DEBIT,214.35,,
DEBIT,05/23/2017,"Lowes CC         LWS EPAY   1320209840      WEB ID: 9069872103",-54.00,ACH_DEBIT,249.35,,
DEBIT,05/23/2017,"DOLLAR TR 130 PARK CEN PARKERSBURG WV        05/23",-20.98,DEBIT_CARD,303.35,,
DEBIT,05/23/2017,"DISCOUNT POOL SUPPLY PARKERSBURG WV          05/22",-59.33,DEBIT_CARD,324.33,,
DEBIT,05/23/2017,"1875 Great Clips at Ma PARKERSBURG WV        05/22",-6.00,DEBIT_CARD,383.66,,
DEBIT,05/22/2017,"CBS ALL ACCESS 888-274-5343 CA               05/19",-9.99,DEBIT_CARD,389.66,,
DEBIT,05/22/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        05/20",-4.24,DEBIT_CARD,399.65,,
DEBIT,05/22/2017,"CVS/PHARM 06276--220 G PARKERSBURG WV        05/20",-5.50,DEBIT_CARD,403.89,,
DEBIT,05/22/2017,"CHICK-FIL-A #00629 PARKERSBURG WV            05/20",-21.15,DEBIT_CARD,409.39,,
DEBIT,05/22/2017,"Online Payment 6237603836 To MONONGAHELA POWER 05/22",-196.55,BILLPAY,430.54,,
DEBIT,05/22/2017,"Online Payment 6237603759 To DOMINION HOPE 05/22",-35.01,BILLPAY,627.09,,
DEBIT,05/22/2017,"Payment to Chase card ending in 2079 05/22",-25.00,ACCT_XFER,662.10,,
DEBIT,05/22/2017,"SUDDENLINK COMMUNICTN 304-343-3343 MO        05/22",-96.73,DEBIT_CARD,687.10,,
DEBIT,05/22/2017,"Online Transfer 6237594627 to One Community FCU ####9000 transaction #: 6237594627 05/22",-350.00,ACCT_XFER,783.83,,
DEBIT,05/22/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         05/21",-10.86,DEBIT_CARD,1133.83,,
DEBIT,05/22/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         05/21",-10.86,DEBIT_CARD,1144.69,,
DEBIT,05/22/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         05/21",-10.86,DEBIT_CARD,1155.55,,
DEBIT,05/22/2017,"TEACHERSPAYTEACHERS.C 646-588-0910 NY        05/20",-1.00,DEBIT_CARD,1166.41,,
DEBIT,05/22/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        05/20",-143.48,DEBIT_CARD,1167.41,,
DEBIT,05/22/2017,"CRICUT 877-343-2881 UT                       05/19",-9.99,DEBIT_CARD,1310.89,,
CREDIT,05/22/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1270.59,ACH_CREDIT,1320.88,,
DEBIT,05/17/2017,"TACO BELL #30912 PARKERSBURG WV              05/16",-9.49,DEBIT_CARD,50.29,,
DEBIT,05/16/2017,"MOTORISTS INSURA INS PREM                   PPD ID: 1314259550",-227.01,ACH_DEBIT,59.78,,
DEBIT,05/16/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        05/16",-12.62,DEBIT_CARD,286.79,,
DEBIT,05/16/2017,"THE ORIGINAL PIZZA PLAC VIENNA WV            05/15",-5.90,DEBIT_CARD,299.41,,
DEBIT,05/15/2017,"WalMart CC       WM EPAY    1313890926      WEB ID: 9069872103",-35.00,ACH_DEBIT,305.31,,
DEBIT,05/15/2017,"1875 Great Clips at Ma PARKERSBURG WV        05/14",-19.00,DEBIT_CARD,340.31,,
DEBIT,05/15/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         05/15",-10.00,DEBIT_CARD,359.31,,
DEBIT,05/15/2017,"JAMES COUNTRY S WASHINGTON WV                05/14",-10.12,DEBIT_CARD,369.31,,
DEBIT,05/15/2017,"JAMES COUNTRY S WASHINGTON WV                05/14",-12.50,DEBIT_CARD,379.43,,
DEBIT,05/15/2017,"7-ELEVEN PARKERSBURG WV                      05/14",-6.16,DEBIT_CARD,391.93,,
DEBIT,05/15/2017,"Wal-Mart Super Center VIENNA WV              05/13",-54.20,DEBIT_CARD,398.09,,
DEBIT,05/15/2017,"AUNTIE ANNS PRETZE PARKERSBURG OH            05/13",-9.48,DEBIT_CARD,452.29,,
DEBIT,05/15/2017,"THE ORIGINAL PIZZA PLAC VIENNA WV            05/13",-12.79,DEBIT_CARD,461.77,,
DEBIT,05/15/2017,"STIR FRY 88 VIENNA WV                        05/13",-8.54,DEBIT_CARD,474.56,,
DEBIT,05/15/2017,"BURGER KING #16285 PARKERSBURG WV            05/13",-12.79,DEBIT_CARD,483.10,,
DEBIT,05/15/2017,"GOODWILL KV VIENNA 3 VIENNA WV               05/13",-21.35,DEBIT_CARD,495.89,,
DEBIT,05/15/2017,"Online Payment 6220715328 To City of Parkersburg 05/15",-26.29,BILLPAY,517.24,,
DEBIT,05/15/2017,"Online Payment 6220715318 To PARKERSBURG UTILITY WV 05/15",-97.42,BILLPAY,543.53,,
DEBIT,05/15/2017,"KROGER    930 DIVISON PARKERSBURG WV         05/13",-56.52,DEBIT_CARD,640.95,,
DEBIT,05/15/2017,"THE LITTLE STIRR LLC VIENNA WV               05/12",-5.13,DEBIT_CARD,697.47,,
DEBIT,05/15/2017,"GO MART #115 PARKERSBURG WV                  05/12",-19.99,DEBIT_CARD,702.60,,
DEBIT,05/15/2017,"THIRD STREET DELI - PA PARKERSBURG WV        05/12",-12.25,DEBIT_CARD,722.59,,
DSLIP,05/15/2017,"DEPOSIT  ID NUMBER 200713",120.00,DEPOSIT,734.84,,
DEBIT,05/11/2017,"TACO BELL #30912 PARKERSBURG WV              05/10",-14.21,DEBIT_CARD,614.84,,
DEBIT,05/11/2017,"MCDONALD'S F3615 PARKERSBURG WV              05/10",-5.35,DEBIT_CARD,629.05,,
DEBIT,05/11/2017,"BURGER KING #12920 PARKERSBURG WV            05/10",-2.45,DEBIT_CARD,634.40,,
DEBIT,05/10/2017,"BARCLAYCARD US   CREDITCARD 451001397       WEB ID: 2510407970",-27.00,ACH_DEBIT,636.85,,
DEBIT,05/10/2017,"BIG LOTS STORES 2107 P PARKERSBURG WV930702  05/10",-11.24,DEBIT_CARD,663.85,,
DEBIT,05/10/2017,"FAMILY DOLLAR # PARKERSBURG WV               05/10",-21.27,DEBIT_CARD,675.09,,
DEBIT,05/10/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        05/10",-8.20,DEBIT_CARD,696.36,,
DEBIT,05/10/2017,"KFC J625182 PARKERSBURG WV                   05/09",-2.02,DEBIT_CARD,704.56,,
DEBIT,05/10/2017,"DICARLO'S PIZZA PARKERSBURG WV               05/10",-19.24,DEBIT_CARD,706.58,,
DEBIT,05/09/2017,"KOHL'S DEPT STRS CHG PYMT   043000096718994 WEB ID: 9044021343",-27.00,ACH_DEBIT,725.82,,
DEBIT,05/09/2017,"BARCLAYCARD US   CREDITCARD 453579187       WEB ID: 2510407970",-46.20,ACH_DEBIT,752.82,,
DEBIT,05/09/2017,"CABELAS VISA     PAYMENTS                   WEB ID: 2470839081",-72.00,ACH_DEBIT,799.02,,
DEBIT,05/09/2017,"CAPITAL ONE AUTO CARPAY     006207526344001 WEB ID: 9541719806",-312.62,ACH_DEBIT,871.02,,
DEBIT,05/09/2017,"DOLLAR-GE 4 8TH AVE PARKERSBURG WV           05/09",-11.18,DEBIT_CARD,1183.64,,
DEBIT,05/08/2017,"CAPITAL ONE      ONLINE PMT 712839919395625 WEB ID: 9279744991",-25.00,ACH_DEBIT,1194.82,,
DEBIT,05/08/2017,"CAPITAL ONE      ONLINE PMT 712839919395624 WEB ID: 9279744991",-25.00,ACH_DEBIT,1219.82,,
DEBIT,05/08/2017,"QUICKEN LOANS    MTG PYMTS  3357858229      WEB ID: 9112356513",-670.35,ACH_DEBIT,1244.82,,
DEBIT,05/08/2017,"THE HOME DEPOT #4803 VIENNA WV       086144  05/08",-19.99,DEBIT_CARD,1915.17,,
DEBIT,05/08/2017,"Payment to Chase card ending in 7433 05/08",-119.00,ACCT_XFER,1935.16,,
DEBIT,05/08/2017,"RITE AID STORE - 1405 PARKERSBURG WV 203378  05/07",-18.19,DEBIT_CARD,2054.16,,
DEBIT,05/08/2017,"MEDEXPRESS UC S PARKER PARKERSBURG WV        05/07",-35.00,DEBIT_CARD,2072.35,,
DEBIT,05/08/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        05/06",-20.54,DEBIT_CARD,2107.35,,
DEBIT,05/08/2017,"MCDONALD'S F3615 PARKERSBURG WV              05/06",-18.37,DEBIT_CARD,2127.89,,
DEBIT,05/08/2017,"RITE AID STORE - 1405 PARKERSBURG WV 250741  05/06",-71.61,DEBIT_CARD,2146.26,,
DEBIT,05/08/2017,"LOWE'S #2246 PARKERSBURG WV          760455  05/06",-21.34,DEBIT_CARD,2217.87,,
DEBIT,05/08/2017,"LOWE'S #2246 PARKERSBURG WV          691837  05/06",-150.31,DEBIT_CARD,2239.21,,
DEBIT,05/08/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        05/06 Purchase $67.13 Cash Back $20.00",-87.13,DEBIT_CARD,2389.52,,
CREDIT,05/08/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",2174.11,ACH_CREDIT,2476.65,,
DEBIT,05/05/2017,"LOWE'S #2246 PARKERSBURG WV          701677  05/05",-10.53,DEBIT_CARD,302.54,,
DEBIT,05/05/2017,"LOWE'S #2246 PARKERSBURG WV          932320  05/05",-33.88,DEBIT_CARD,313.07,,
DEBIT,05/04/2017,"SAM'S Club VIENNA WV                         05/04",-13.78,DEBIT_CARD,346.95,,
DEBIT,05/04/2017,"ARBYS 8317 PARKERSBURG WV                    05/03",-13.12,DEBIT_CARD,360.73,,
DEBIT,05/03/2017,"KOHLS 1063 189 BOSLEY PARKERSBURG WV 824928  05/03",-23.86,DEBIT_CARD,373.85,,
DEBIT,05/03/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        05/03",-37.56,DEBIT_CARD,397.71,,
DEBIT,05/03/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV908201  05/03",-13.30,DEBIT_CARD,435.27,,
DEBIT,05/02/2017,"LOWE'S #2246 PARKERSBURG WV          305946  05/02",-17.08,DEBIT_CARD,448.57,,
DEBIT,05/02/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        05/02",-65.93,DEBIT_CARD,465.65,,
DEBIT,05/02/2017,"INMAN FAMILY EYECARE I PARKERSBURG WV        05/02",-10.00,DEBIT_CARD,531.58,,
DEBIT,05/02/2017,"ALLEY HEALTHCARE PARKERSBURG WV              05/01",-21.40,DEBIT_CARD,541.58,,
DEBIT,05/02/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         05/02",-10.86,DEBIT_CARD,562.98,,
DEBIT,05/02/2017,"TIM HORTON'S #915676 PARKERSBURG WV          05/01",-14.96,DEBIT_CARD,573.84,,
DEBIT,05/01/2017,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-11.76,ACH_DEBIT,588.80,,
DEBIT,05/01/2017,"SUDDENLINK       BANK DRAFT 400034514602001 WEB ID: 1000000400",-94.69,ACH_DEBIT,600.56,,
DEBIT,05/01/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        05/01",-22.33,DEBIT_CARD,695.25,,
